ID Number,First Name,Last Name,Gender,Date of Birth,Age,Immigration Status,Country of Origin,Passport Number,Visa Type,Visa Issue Date,Visa Expiry Date,Permit Number,Asylum Status,Email,Phone Number,Address,City,Province,Postal Code,Occupation,Language,Years in SA
'PR61501610,Sithembiso,Mcambi,Female,1980-05-17,45,Citizen,Eswatini,88887737,Study Visa,2023-06-01,2033-05-29,PER96527,N/A,tmhlanga@net,+1-249-616-9158x61093,"445 Edward Indlela, Mbombela, 6725",Musina,Western Cape,1095,Geophysicist/field seismologist,Zulu,16
'5410312889030,Thandazile,Dludlu,Female,1954-10-31,70,Citizen,South Africa,42325342,N/A,N/A,N/A,N/A,N/A,amahlentamonde@za.net,541-807-0787x4583,"103 Edward Ithafa, Vereeniging, 3450",Bethlehem,Eastern Cape,4452,Ambulance person,Zulu,N/A
'PR61137445,Thomas,Cordier,Male,1995-04-30,30,Citizen,Democratic Republic of Congo,47112547,Work Visa,2023-03-14,2033-03-11,PER55853,N/A,anastasiealbert@org,0387188963,"rue Guillaume Blanc, 57183 Leroy",Dijoux,Eastern Cape,71931,pharmacien dans l'industrie,French,5
'PR90332181,Baldur,Mans,Male,1998-11-09,26,Citizen,Germany,261037967,Relative's Visa,2024-12-25,2034-12-23,PER34041,N/A,wolframmende@de,+49(0)8836 11511,"Bolnbachplatz 1178, 67861 Geldern",Ahaus,Northern Cape,81835,Elektroniker,German,0
'PR54538311,Lwandile,Madlula,Male,1995-08-13,30,Citizen,Malawi,23569286,Retirement Visa,2024-02-29,2034-02-26,PER41960,N/A,ndumisobikelwayo@org,416.497.1319x594,"63 Jan Smuts Indlela, Benoni, 7553",Boksburg,KwaZulu-Natal,1149,Nature conservation officer,Zulu,11
'9107200006038,Nomathalente,Mpanza,Female,1991-07-20,34,Citizen,South Africa,56605569,N/A,N/A,N/A,N/A,N/A,bhekanimbhele@co.za,001-537-282-3127,"68 Elizabeth Ithafa, Paarl, 6728",Vanderbijlpark,North West,7697,"Teacher, adult education",Zulu,N/A
'PR33349357,Thembisile,Siwele,Female,1985-09-24,39,Asylum Seeker,Zimbabwe,ZI523703,Corporate Visa,2024-01-13,2034-01-10,PER71962,N/A,qnombela@zimbabwe.com,(971)497-1995x585,"194 Smith Isitaladi, Potchefstroom, 8042",eGoli,North West,2678,"Engineer, technical sales",Zulu,17
'TV56615,Sandile,Ndabezitha,Male,2001-12-21,23,Citizen,Ethiopia,42712326,Corporate Visa,2024-09-16,2025-03-31,VIS61550,N/A,andilengwane@org,935.292.9078,"9033 Napier Indlela, Randfontein, 8747",Paarl,Northern Cape,1551,Ship broker,Zulu,0
'TV10607,Xavier,Delmas,Male,1976-02-14,49,Permanent Resident,Democratic Republic of Congo,22173956,Retirement Visa,2023-11-19,2024-10-14,VIS57924,N/A,benoitbenoit@net,+33 (0)4 34 66 21 65,"56, chemin Christelle Peltier, 62938 Deschamps-la-Forêt",Gilbert,Northern Cape,97425,commercial export,French,15
'5809148268049,Lwandile,Vezi,Male,1958-09-14,66,Citizen,South Africa,36493423,N/A,N/A,N/A,N/A,N/A,thembeka19@africa.com,(526)314-5428x45257,"132 Somerset Ithafa, Boksburg, 8209",Polokwane,Western Cape,4997,Conference centre manager,Zulu,N/A
