ID Number,First Name,Last Name,Gender,Date of Birth,Age,Immigration Status,Country of Origin,Passport Number,Visa Type,Visa Issue Date,Visa Expiry Date,Permit Number,Asylum Status,Biometric Score,Email,Phone Number,Address,City,Province,Postal Code,Occupation,Language,Years in SA
'5304135654096,Sibonelo,Bhengu,Male,1953-04-13,72,Citizen,South Africa,81166623,N/A,N/A,N/A,N/A,N/A,0.88,qmphephethwa@africa.com,815.947.8748x6792,"723 Edward Ithafa, Uitenhage, 6534",Benoni,Gauteng,6422,Records manager,Zulu,N/A
'0512210588045,Thandazile,Nyazitla,Female,2005-12-21,19,Citizen,South Africa,54885852,N/A,N/A,N/A,N/A,N/A,0.87,gugulethu60@za.net,+1-343-504-7574x8523,"3480 King Isitaladi, Bethlehem, 5550",iKapa,Gauteng,6139,Land,Zulu,N/A
'4303114657026,Nkazimulo,Mazibuko,Female,1943-03-11,82,Temporary Visa,South Africa,27527190,N/A,N/A,N/A,N/A,N/A,0.92,meyiwajabulani@co.za,(845)548-5209,"153 James Ithafa, Welkom, 2330",Witbank,Gauteng,6115,"Optician, dispensing",Zulu,N/A
'TV54236,Bandile,Sabelo,Male,1983-12-14,41,Citizen,Zimbabwe,ZI925956,Corporate Visa,2023-03-29,2024-12-24,VIS47460,N/A,0.89,mdakanenomusa@zimbabwe.com,613-288-6146x052,"8827 Churchill Indawo, Mahikeng, 2228",iKapa,KwaZulu-Natal,6625,Careers adviser,Zulu,12
'PR37424167,Catherine,Lebrun,Female,1985-06-30,40,Permanent Resident,Democratic Republic of Congo,81463387,Study Visa,2023-01-20,2033-01-17,PER63050,N/A,0.62,fernandestristan@com,+33 1 64 92 62 38,"70, rue Nath Durand, 82173 Barbe-sur-Lefort",Delattre,Western Cape,97444,ingénieur aromaticien aromaticienne,French,0
'7812065453031,Mthokozisi,Gininda,Male,1978-12-06,46,Citizen,South Africa,23628937,N/A,N/A,N/A,N/A,N/A,0.94,nqobizithansele@za.net,869-713-1892,"751 York Indlela, Potchefstroom, 8259",Stellenbosch,Gauteng,1669,Health and safety adviser,Zulu,N/A
'4706069230094,Sibonelo,Ayize,Male,1947-06-06,78,Citizen,South Africa,50272649,N/A,N/A,N/A,N/A,N/A,0.76,imbongwe@za.net,001-769-769-0514x3204,"3297 Oxford Indlela, George, 6549",Soweto,Eastern Cape,7540,Chief Technology Officer,Zulu,N/A
'5409124850007,Olwethu,Vilakazi,Female,1954-09-12,71,Citizen,South Africa,19499432,N/A,N/A,N/A,N/A,N/A,0.81,bhekokwakhemathaba@africa.com,001-558-993-2990,"688 Churchill Isitaladi, Stellenbosch, 6875",Bloemfontein,Northern Cape,1759,Chartered loss adjuster,Zulu,N/A
'6912049601036,Thando,Vilakazi,Male,1969-12-04,55,Permanent Resident,South Africa,15642116,N/A,N/A,N/A,N/A,N/A,0.75,nomcebochonco@co.za,+1-650-864-8072,"651 George Indawo, Springs, 8024",Mbombela,Gauteng,3592,Outdoor activities/education manager,Zulu,N/A
'AS770253,Thembisile,Mpikela,Female,1991-01-05,34,Citizen,Malawi,31212856,Asylum Seeker Permit,2023-04-01,2025-03-31,ASP84232,Application Submitted,0.33,mguma@net,416.898.6644,"674 Main Indlela, Bethlehem, 9780",Upington,Eastern Cape,7915,Chartered public finance accountant,Zulu,17
'PR90090393,Olivier,Pelletier,Male,1980-05-29,45,Citizen,United Kingdom,307145936,Critical Skills Visa,2023-05-28,2033-05-25,PER51313,N/A,0.86,dpelletier@uk.com,+33 (0)5 35 67 75 67,"83, rue Pires, 64374 Moulin",PhilippeBourg,Gauteng,18649,technicien plasturgiste,French,16
'7301200393079,Nozizwe,Ngubane,Female,1973-01-20,52,Citizen,South Africa,45379523,N/A,N/A,N/A,N/A,N/A,0.97,smayisela@co.za,+1-542-391-6337x12542,"347 Main Umgwaqo, Chatsworth, 4487",George,North West,3874,Furniture conservator/restorer,Zulu,N/A
'7203175167078,Thabani,Mnomiya,Male,1972-03-17,53,Citizen,South Africa,97127043,N/A,N/A,N/A,N/A,N/A,0.78,thalente75@co.za,781.398.4376,"2175 Albertina Sisulu Isitaladi, Benoni, 4306",Kathu,Gauteng,9902,Printmaker,Zulu,N/A
'9508302268013,Londiwe,Sothole,Female,1995-08-30,30,Citizen,South Africa,21298562,N/A,N/A,N/A,N/A,N/A,0.82,amahlemkholo@co.za,235-762-1739,"556 Stanley Isitaladi, Benoni, 6486",iKapa,Northern Cape,8399,Speech and language therapist,Zulu,N/A
'8404056331038,Sandile,Nsukuza,Male,1984-04-05,41,Citizen,South Africa,38904948,N/A,N/A,N/A,N/A,N/A,0.97,nomagugu04@africa.com,001-289-480-5460x12978,"7258 West Umgwaqo, Benoni, 3052",Soweto,Limpopo,7989,Industrial/product designer,Zulu,N/A
'7902194766057,Sihawukele,Mkhonza,Female,1979-02-19,46,Citizen,South Africa,42306021,N/A,N/A,N/A,N/A,N/A,0.95,khumalothembekile@za.net,897-207-9308x905,"51 King Umgwaqo, Newcastle, 3273",eThekwini,Free State,1064,Financial adviser,Zulu,N/A
'8005095766033,Minenhle,Sembathwa,Male,1980-05-09,45,Permanent Resident,South Africa,26663883,N/A,N/A,N/A,N/A,N/A,0.89,zenzilengcamane@africa.com,877-462-9235x469,"706 Somerset Isitaladi, Benoni, 2163",Thohoyandou,Gauteng,3394,"Exhibitions officer, museum/gallery",Zulu,N/A
'TV35131,Brigitte,Didier,Female,2005-09-28,20,Citizen,United Kingdom,297213798,Work Visa,2025-04-05,2025-11-11,VIS89938,N/A,0.7,margaudcharpentier@co.uk,0278011591,"63, rue Lopes, 17261 Coste",Le Gall,KwaZulu-Natal,44659,ingénieur en construction navale,French,9
'0307054952058,Owethu,Mzukase,Female,2003-07-05,22,Permanent Resident,South Africa,45095120,N/A,N/A,N/A,N/A,N/A,0.82,mandlakhemalambule@za.net,(258)875-4015,"49 Nelson Mandela Umgwaqo, Rustenburg, 9900",Middelburg,North West,3244,Museum/gallery conservator,Zulu,N/A
'0412172847079,Mnqobi,Ntshiza,Female,2004-12-17,20,Citizen,South Africa,62051926,N/A,N/A,N/A,N/A,N/A,0.86,nkazimulo33@africa.com,612-839-0131,"9519 Elizabeth Indawo, Musina, 3506",Bloemfontein,Limpopo,5741,Pension scheme manager,Zulu,N/A
'AS709250,Amahle,Mwandla,Female,1997-12-19,27,Citizen,Ethiopia,84172858,Asylum Seeker Permit,2024-07-20,2026-07-20,ASP31768,Rejected,0.53,simphiweyengwayo@org,7823240888,"6781 Church Umgwaqo, Vanderbijlpark, 9196",Kathu,Northern Cape,8370,Clinical molecular geneticist,Zulu,0
'8507120602099,Olwethu,Nyawo,Female,1985-07-12,40,Citizen,South Africa,31274894,N/A,N/A,N/A,N/A,N/A,0.74,mzulwiniminenhle@za.net,(956)762-2257,"40 President Indlela, Welkom, 5972",Chatsworth,KwaZulu-Natal,5485,Engineering geologist,Zulu,N/A
'6602079347035,Lwandile,Nandisa,Male,1966-02-07,59,Citizen,South Africa,29400229,N/A,N/A,N/A,N/A,N/A,0.98,simphiwe93@africa.com,+1-436-893-4343x97323,"2011 Clarence Indlela, Witbank, 4516",uMgungundlovu,Gauteng,5400,Systems analyst,Zulu,N/A
'PR58683342,Nothando,Ntamonde,Female,2005-12-07,19,Citizen,Ethiopia,36106630,Critical Skills Visa,2024-05-21,2034-05-19,PER82583,N/A,0.64,nomthandazo27@com,+1-994-216-1246x7810,"152 Nelson Mandela Isitaladi, Sasolburg, 5356",Uitenhage,KwaZulu-Natal,2607,Higher education careers adviser,Zulu,11
'9709062822021,Thuthukile,Mgasela,Female,1997-09-06,28,Asylum Seeker,South Africa,36090572,N/A,N/A,N/A,N/A,N/A,0.91,luyanda87@africa.com,553.347.3095x5684,"7962 Walter Sisulu Indlela, Randfontein, 4488",Krugersdorp,Western Cape,5084,"Research officer, political party",Zulu,N/A
'PR26273303,兰英,王,Female,2001-04-14,24,Permanent Resident,China,35334423,Relative's Visa,2022-10-30,2032-10-27,PER82210,N/A,0.91,itian@com.cn,13910631914,广西壮族自治区杭州市璧山钟路Z座 889602,成都市,Northern Cape,894646,排版设计,Mandarin,9
'7801210716014,Silondile,Mafulela,Female,1978-01-21,47,Citizen,South Africa,50883661,N/A,N/A,N/A,N/A,N/A,1.0,nqobizithangwekazi@africa.com,001-609-566-8716x1982,"854 Joseph Isitaladi, Kathu, 1546",Boksburg,KwaZulu-Natal,9265,Energy manager,Zulu,N/A
'PR71746297,Bhekokwakhe,Mhlongo,Female,1998-11-10,26,Citizen,Ghana,G9337802,Relative's Visa,2023-06-03,2033-05-31,PER81041,N/A,0.72,sibusisiwephikela@com.gh,(764)622-7304,"9899 Elizabeth Isitaladi, Rustenburg, 4160",Rustenburg,North West,7332,Materials engineer,Zulu,0
'0307270468050,Nomalanga,Sokhulu,Female,2003-07-27,22,Citizen,South Africa,78913847,N/A,N/A,N/A,N/A,N/A,0.96,dmadlula@co.za,001-907-334-6476,"39 Long Indawo, Thohoyandou, 8812",iBhayi,Western Cape,7275,Technical brewer,Zulu,N/A
'TV30725,Jeannine,Rodriguez,Female,1997-04-13,28,Citizen,United Kingdom,578739099,Business Visa,2025-07-17,2026-01-05,VIS43092,N/A,0.54,simonele-roux@uk.com,+33 4 34 27 43 45,"90, rue Blanchard, 36522 BourdonVille",Grosboeuf,Limpopo,83143,chercheur en physique,French,2
'4611065677058,Sibusiso,Gcaba,Male,1946-11-06,78,Permanent Resident,South Africa,50273722,N/A,N/A,N/A,N/A,N/A,0.76,thembeka10@co.za,(653)696-6355x0064,"332 Albertina Sisulu Umgwaqo, Benoni, 2538",Uitenhage,Mpumalanga,9266,"Administrator, local government",Zulu,N/A
'4604189244024,SimphiweyiNkosi,Mzukase,Male,1946-04-18,79,Citizen,South Africa,96511013,N/A,N/A,N/A,N/A,N/A,0.71,nhlekobhekisisa@africa.com,001-930-784-3594x80295,"92 Edward Indlela, Rustenburg, 1259",Chatsworth,Limpopo,5644,Therapeutic radiographer,Zulu,N/A
'9608284328079,Siphesihle,Khwane,Female,1996-08-28,29,Permanent Resident,South Africa,54748908,N/A,N/A,N/A,N/A,N/A,0.81,tgagashe@africa.com,+1-872-284-0256x6193,"753 Short Indawo, iKapa, 7464",George,Limpopo,5829,Press photographer,Zulu,N/A
'PR79520740,Laetitia,Marques,Female,1984-10-02,41,Citizen,United States,466690073,Corporate Visa,2025-08-01,2035-07-30,PER12211,N/A,0.76,mgros@com,+33 3 24 06 18 51,"9, rue de Teixeira, 21169 Lagarde",Legrand-sur-Bonnin,Eastern Cape,66665,consultant green IT,French,7
'7602230278015,Sithembiso,Magutshwa,Female,1976-02-23,49,Permanent Resident,South Africa,76775691,N/A,N/A,N/A,N/A,N/A,0.71,siyayasimphiweyinkosi@co.za,641-926-9755x40165,"26 James Indlela, Uitenhage, 4261",Tembisa,Eastern Cape,7906,Information officer,Zulu,N/A
'PR69547139,Sandile,Gasela,Male,1974-02-22,51,Citizen,Somalia,11568446,Critical Skills Visa,2023-02-01,2033-01-29,PER51434,N/A,0.78,whlengwa@net,979.498.0829x556,"794 York Ithafa, Randfontein, 2381",Springs,Eastern Cape,6567,Volunteer coordinator,Zulu,2
'4205303958030,Nomagugu,Bhedleni,Female,1942-05-30,83,Citizen,South Africa,28760346,N/A,N/A,N/A,N/A,N/A,0.84,mdlulisibusisiwe@co.za,360-905-9645,"72 Voortrekker Ithafa, iBhayi, 4768",Vereeniging,Western Cape,1945,Chief of Staff,Zulu,N/A
'5908183109030,Thembisile,Ayize,Female,1959-08-18,66,Citizen,South Africa,45281682,N/A,N/A,N/A,N/A,N/A,0.96,sibongilentshiza@co.za,442.627.2294x0757,"7982 Nelson Mandela Umgwaqo, Springs, 9786",Soweto,Western Cape,5540,Nutritional therapist,Zulu,N/A
'5504072453068,Thembile,Mngadi,Female,1955-04-07,70,Permanent Resident,South Africa,72933082,N/A,N/A,N/A,N/A,N/A,0.79,mashinininonjabulo@za.net,(861)388-0299,"130 Grey Umgwaqo, iKapa, 1433",George,Mpumalanga,4348,Heritage manager,Zulu,N/A
'TV26950,Sibonelo,Ncwane,Male,1984-09-15,41,Temporary Visa,Ghana,G8671104,Business Visa,2023-11-15,2024-12-16,VIS76588,N/A,0.57,wayanda@ghana.com,001-396-242-5975x02252,"552 James Isitaladi, George, 3323",Middelburg,KwaZulu-Natal,7690,Clinical embryologist,Zulu,10
'PR71380557,Marguerite,Klein,Female,2002-10-03,23,Citizen,United Kingdom,162998053,Business Visa,2024-12-25,2034-12-23,PER59244,N/A,0.75,lgeorges@uk.com,01 40 69 63 99,"32, rue Thibaut Bigot, 44643 Lebon",Bigot-sur-Delorme,Free State,55233,ingénieur structures,French,15
'4008278591060,Sandile,Ndiyema,Male,1940-08-27,85,Citizen,South Africa,30616317,N/A,N/A,N/A,N/A,N/A,0.93,mzombaamahle@za.net,001-823-433-8376,"3743 Milner Umgwaqo, Witbank, 4036",Polokwane,Limpopo,8780,Fast food restaurant manager,Zulu,N/A
'5512144808050,Sihawukele,Menziwa,Female,1955-12-14,69,Citizen,South Africa,18466114,N/A,N/A,N/A,N/A,N/A,0.85,shibasenomathemba@za.net,421-634-4707,"644 Churchill Indawo, Mahikeng, 5436",Krugersdorp,Eastern Cape,1072,Information officer,Zulu,N/A
'8404134676083,Nothando,Mthembu,Female,1984-04-13,41,Citizen,South Africa,67839853,N/A,N/A,N/A,N/A,N/A,0.75,minenhlengwane@co.za,(746)580-6026,"9234 Gandhi Indawo, Thohoyandou, 6157",Tembisa,Mpumalanga,1389,"Embryologist, clinical",Zulu,N/A
