ID Number,First Name,Last Name,Gender,Date of Birth,Age,Immigration Status,Country of Origin,Passport Number,Visa Type,Visa Issue Date,Visa Expiry Date,Permit Number,Asylum Status,Email,Phone Number,Address,City,Province,Postal Code,Occupation,Language,Years in SA
'AS675894,Jeannine,Gilles,Female,1971-01-20,54,Citizen,United Kingdom,382011352,Asylum Seeker Permit,2025-08-08,2027-08-08,ASP49067,Under Review,aubryceline@uk.com,03 56 94 63 03,"7, rue de Ribeiro, 68890 Ruiz",Colinnec,Free State,67207,gérant de portefeuille,French,14
'PR11775126,Amélie,Fournier,Female,1978-11-15,46,Temporary Visa,Democratic Republic of Congo,41224060,Retirement Visa,2025-06-07,2035-06-05,PER69231,N/A,victor09@net,01 74 21 23 73,"38, rue Delmas, 03566 Sainte Alex-les-Bains",MalletVille,Mpumalanga,13900,souffleur de verre,French,8
'7106095295097,Njabulo,Chibi,Male,1971-06-09,54,Citizen,South Africa,22787507,N/A,N/A,N/A,N/A,N/A,sphiwe85@za.net,679-750-3690x7158,"1583 Voortrekker Umgwaqo, Krugersdorp, 5150",Randfontein,Western Cape,8865,Risk analyst,Zulu,N/A
'TV61521,Silondile,Sameya,Female,1996-07-29,29,Citizen,Kenya,K2027738,Study Visa,2023-02-06,2025-02-28,VIS71492,N/A,bhekizizwenzima@co.ke,6738683713,"15 Paul Kruger Isitaladi, Musina, 8313",Bloemfontein,Eastern Cape,4220,"Nurse, mental health",Zulu,6
'PR34837159,Sibusiso,Maluleka,Male,2004-11-16,20,Citizen,Zimbabwe,ZI816017,Work Visa,2023-06-02,2033-05-30,PER62526,N/A,mlabaandile@co.zw,+1-263-799-1217x804,"41 Main Ithafa, Kimberley, 6843",Kathu,KwaZulu-Natal,7711,Bookseller,Zulu,0
'PR53826513,Nomusa,Msamkhulu,Female,1996-03-17,29,Citizen,Ghana,G7973778,Work Visa,2022-09-14,2032-09-11,PER15548,N/A,sibindidumisani@com.gh,507-989-9135,"58 High Umgwaqo, Stellenbosch, 9040",Middelburg,Northern Cape,5704,Special effects artist,Zulu,4
'PR28403064,Gugu,Ngotsha,Female,2005-02-03,20,Citizen,Ethiopia,85218743,Corporate Visa,2023-06-25,2033-06-22,PER17870,N/A,alutholoni@net,+1-403-875-0412x2955,"52 William Indlela, Benoni, 5341",iKapa,Free State,9120,Psychiatrist,Zulu,20
'PR46415971,Gilbert,Lebreton,Male,1999-06-20,26,Citizen,Democratic Republic of Congo,86832121,Retirement Visa,2024-04-07,2034-04-05,PER75335,N/A,emile21@com,0427924762,"76, rue Brigitte Potier, 26699 Vincent-la-Forêt",Berthelot,Western Cape,36525,inspecteur de banque,French,1
'4004115419047,Thando,Mngwengwe,Male,1940-04-11,85,Permanent Resident,South Africa,52695594,N/A,N/A,N/A,N/A,N/A,sheziluyanda@africa.com,+1-535-641-0805x78128,"7050 High Indlela, eGoli, 9508",Vanderbijlpark,Mpumalanga,5188,Television production assistant,Zulu,N/A
'TV24429,伟,刘,Male,1988-08-16,37,Temporary Visa,China,51706639,Relative's Visa,2024-06-17,2025-12-14,VIS83508,N/A,weiwei@china.com,13406816295,西藏自治区兵县梁平张路a座 701739,刚市,Mpumalanga,119500,销售行政及商务,Mandarin,1
'7306045651049,Jabulani,Menziwa,Male,1973-06-04,52,Citizen,South Africa,44504588,N/A,N/A,N/A,N/A,N/A,zibuyilesikwayo@africa.com,901.327.0998x1072,"617 King Indawo, Benoni, 1076",Mbombela,KwaZulu-Natal,7140,"Psychotherapist, dance movement",Zulu,N/A
'AS516626,आकाङ्क्षा,चक्रवर्ती,Male,1991-04-08,34,Citizen,India,84537092,Asylum Seeker Permit,2023-08-24,2025-08-23,ASP77260,Refugee Status Granted,joshiirnyjit@co.in,001-47867477,"56 मञ्जुनाथ जयरामन, अजमेर-350681",चक्रधरपुर,Eastern Cape,617141,Pharmacologist,Hindi,19
'4609277049083,Lwandile,Mcambi,Male,1946-09-27,78,Citizen,South Africa,15501152,N/A,N/A,N/A,N/A,N/A,cmkhonza@africa.com,716.646.0929,"414 West Indawo, Centurion, 2645",Bloemfontein,Northern Cape,5318,Archivist,Zulu,N/A
'PR19757799,Thomas,Chevalier,Male,2002-12-03,22,Citizen,Democratic Republic of Congo,80791221,Study Visa,2024-03-15,2034-03-13,PER16005,N/A,piresmarianne@org,+33 (0)3 81 34 12 42,"4, rue Royer, 33697 Lelièvre",Laine,Mpumalanga,75734,gérant de portefeuille,French,1
'8303086805033,Lwandile,Msane,Male,1983-03-08,42,Citizen,South Africa,49189288,N/A,N/A,N/A,N/A,N/A,lmkhonza@za.net,001-517-421-3958x6148,"1466 King Indawo, Musina, 4345",Vereeniging,Mpumalanga,9389,"Engineer, site",Zulu,N/A
'5903213497026,Nobantu,Thumbela,Female,1959-03-21,66,Permanent Resident,South Africa,88907144,N/A,N/A,N/A,N/A,N/A,vsondisa@co.za,(723)467-3477x691,"85 Victoria Indawo, Springs, 4792",Bloemfontein,Western Cape,5278,"Therapist, speech and language",Zulu,N/A
'0005259197008,Njabulo,Madlala,Male,2000-05-25,25,Citizen,South Africa,82504900,N/A,N/A,N/A,N/A,N/A,nonjabulo80@africa.com,984-763-5501,"89 Napier Ithafa, Randfontein, 1889",Springs,Gauteng,3967,Field trials officer,Zulu,N/A
'7110166858028,Njabulo,Lukhele,Male,1971-10-16,53,Citizen,South Africa,14778084,N/A,N/A,N/A,N/A,N/A,thenjwayondumiso@africa.com,6984007307,"4833 Jan Smuts Indawo, Kathu, 7107",Tembisa,Limpopo,6553,"Engineer, drilling",Zulu,N/A
'AS346098,Thembekile,Dubandlela,Female,1998-07-15,27,Permanent Resident,Ghana,G7543742,Asylum Seeker Permit,2025-06-28,2027-06-28,ASP54147,Application Submitted,bandile34@ghana.com,001-276-946-0752x5000,"99 West Ithafa, Witbank, 6584",Kathu,Western Cape,4021,Garment/textile technologist,Zulu,20
'TV31203,Mandla,Mfusi,Male,2003-07-04,22,Citizen,Malawi,19658733,Relative's Visa,2023-01-25,2024-05-26,VIS17203,N/A,mawewemandlakhe@org,+1-705-308-4197x5540,"20 Short Isitaladi, Benoni, 8401",Musina,Free State,5019,Energy manager,Zulu,20
'6302032649071,Nomthandazo,Qwabe,Female,1963-02-03,62,Permanent Resident,South Africa,88544785,N/A,N/A,N/A,N/A,N/A,nonjabulo81@za.net,655.514.3946,"1216 Victoria Indlela, eGoli, 7980",Tembisa,Northern Cape,1088,Commissioning editor,Zulu,N/A
'5602169201050,Andile,Mathebula,Male,1956-02-16,69,Permanent Resident,South Africa,34443988,N/A,N/A,N/A,N/A,N/A,mjadundumiso@africa.com,001-498-509-7563x460,"10 Joseph Ithafa, eGoli, 1330",Potchefstroom,North West,2351,Health promotion specialist,Zulu,N/A
'6001135738042,Mcebisi,Thobeni,Male,1960-01-13,65,Citizen,South Africa,68399742,N/A,N/A,N/A,N/A,N/A,zenzele85@co.za,(655)640-8101x04130,"656 Short Indlela, Bethlehem, 9967",Klerksdorp,Northern Cape,1574,Medical secretary,Zulu,N/A
'9711234928022,Thuthukile,Mhlophe,Female,1997-11-23,27,Citizen,South Africa,22722337,N/A,N/A,N/A,N/A,N/A,makhulukhulukhanyisile@za.net,(368)406-6238x481,"464 Long Indawo, Musina, 7592",Thohoyandou,KwaZulu-Natal,1902,"Therapist, nutritional",Zulu,N/A
'0306175324077,Vusumuzi,Mhlongo,Male,2003-06-17,22,Citizen,South Africa,89810287,N/A,N/A,N/A,N/A,N/A,nozibusisomsuthu@africa.com,955-626-4692,"923 Stanley Indawo, Stellenbosch, 2248",iKapa,KwaZulu-Natal,9711,Maintenance engineer,Zulu,N/A
'AS801954,प्रतिभा,शाह,Female,1983-06-22,42,Citizen,India,97770394,Asylum Seeker Permit,2022-11-14,2024-11-13,ASP44904,Application Submitted,bhaart99@india.com,+91 9990567787,"0/1 कैलाश मैती, अजमेर-895069",अन्तर्गत,North West,164180,"Runner, broadcasting/film/video",Hindi,12
'8912214355002,Nonhlanhla,Nombela,Female,1989-12-21,35,Citizen,South Africa,69335668,N/A,N/A,N/A,N/A,N/A,nodangankazimulo@africa.com,(780)757-7681,"33 Walter Sisulu Indawo, Welkom, 1909",Klerksdorp,Western Cape,7446,"Nurse, children's",Zulu,N/A
'5701094114028,Thandeka,Gabhisa,Female,1957-01-09,68,Permanent Resident,South Africa,41202842,N/A,N/A,N/A,N/A,N/A,nokulunga79@africa.com,751-440-7535x1978,"199 Edward Isitaladi, Bloemfontein, 1832",Musina,Western Cape,8667,"Biochemist, clinical",Zulu,N/A
'7011296499038,Siyabonga,Gubulundu,Male,1970-11-29,54,Citizen,South Africa,83099609,N/A,N/A,N/A,N/A,N/A,ndosimandlakhe@za.net,2234399016,"11 Rivonia Ithafa, Benoni, 1898",eThekwini,Eastern Cape,5611,"Pilot, airline",Zulu,N/A
'PR73697590,Nhlanhla,Tiba,Male,1974-01-30,51,Citizen,Kenya,K9061693,Work Visa,2024-06-11,2034-06-09,PER66534,N/A,siyabonga23@co.ke,407-683-0289x319,"513 Charles Ithafa, Middelburg, 4109",Uitenhage,Free State,5391,Sports therapist,Zulu,6
'4705061770025,Simphiwe,Mwelase,Female,1947-05-06,78,Permanent Resident,South Africa,60980431,N/A,N/A,N/A,N/A,N/A,dumisile32@co.za,+1-272-593-4904x100,"279 Long Indlela, Soweto, 6207",Musina,Mpumalanga,1364,Futures trader,Zulu,N/A
'PR74706443,Nhlanhla,Ntshiza,Male,1980-10-04,44,Citizen,Zimbabwe,ZI164873,Business Visa,2022-10-13,2032-10-10,PER94282,N/A,siphesihle99@co.zw,+1-806-680-5297x15657,"36 Stanley Ithafa, Mbombela, 6400",Stellenbosch,Free State,7284,Osteopath,Zulu,11
'AS643947,桂芳,苏,Female,2001-07-25,24,Citizen,China,85815876,Asylum Seeker Permit,2025-05-17,2027-05-17,ASP67914,Interview Scheduled,leikong@china.com,13634392213,山西省杭州市长寿李路a座 655925,兴安盟县,Gauteng,856617,锅炉工程师/技师,Mandarin,8
'TV63224,Mcebisi,Nontuli,Male,1994-08-04,31,Citizen,Zimbabwe,ZI969226,Work Visa,2025-07-25,2027-11-19,VIS54843,N/A,vusumuzi44@co.zw,(227)833-8367,"1510 Edward Isitaladi, Thohoyandou, 4639",Rustenburg,Limpopo,8973,"Surveyor, hydrographic",Zulu,19
