ID Number,First Name,Last Name,Gender,Date of Birth,Age,Immigration Status,Country of Origin,Passport Number,Visa Type,Visa Issue Date,Visa Expiry Date,Permit Number,Asylum Status,Email,Phone Number,Address,City,Province,Postal Code,Occupation,Language,Years in SA
'PR61328691,Sphiwe,Somfula,Male,1997-12-08,27,Temporary Visa,Zambia,43126403,Retirement Visa,2024-08-26,2034-08-24,PER39089,N/A,gugudimbane@net,2207581127,"2660 Paul Kruger Indawo, Boksburg, 4604",Vereeniging,North West,1025,Barrister's clerk,Zulu,7
'4110156027028,Siyabonga,Sondisa,Male,1941-10-15,83,Citizen,South Africa,29758487,N/A,N/A,N/A,N/A,N/A,thandekamangede@africa.com,+1-987-722-5967x22599,"169 Charles Umgwaqo, Musina, 1669",uMgungundlovu,KwaZulu-Natal,7656,"Biochemist, clinical",Zulu,N/A
'6909301967070,Thembile,Gabhezi,Female,1969-09-30,55,Citizen,South Africa,90044260,N/A,N/A,N/A,N/A,N/A,sphiwemaphalala@africa.com,+1-528-770-3004x95254,"5399 West Indawo, uMgungundlovu, 5002",Kathu,North West,6075,Control and instrumentation engineer,Zulu,N/A
'8108154728006,Zibuyile,Nkumane,Female,1981-08-15,44,Citizen,South Africa,95852018,N/A,N/A,N/A,N/A,N/A,jamilesihawukele@africa.com,001-484-683-2825,"432 Main Indawo, Bloemfontein, 3585",iKapa,Western Cape,5330,Water quality scientist,Zulu,N/A
'5305040129030,Olwethu,Mashiya,Female,1953-05-04,72,Citizen,South Africa,33705827,N/A,N/A,N/A,N/A,N/A,kndonga@africa.com,001-254-878-3295x27556,"77 Victoria Umgwaqo, Newcastle, 4452",Sasolburg,Western Cape,4440,Astronomer,Zulu,N/A
'6204243107009,Thandiwe,Nhlane,Female,1962-04-24,63,Citizen,South Africa,58052310,N/A,N/A,N/A,N/A,N/A,nothando33@africa.com,404.309.5280,"33 Queen Indawo, Musina, 6876",Paarl,Free State,2443,Sports coach,Zulu,N/A
'7209158992089,Njabulo,Guma,Male,1972-09-15,52,Citizen,South Africa,58485067,N/A,N/A,N/A,N/A,N/A,tfakude@co.za,873-947-8333,"576 James Isitaladi, Soweto, 2668",Bloemfontein,Free State,1987,Therapeutic radiographer,Zulu,N/A
'8106085909069,Mcebisi,Nombela,Male,1981-06-08,44,Permanent Resident,South Africa,41343766,N/A,N/A,N/A,N/A,N/A,mnqobikhwane@co.za,(309)660-4604,"43 Stanley Isitaladi, Mbombela, 4034",Middelburg,Free State,7155,"Administrator, education",Zulu,N/A
'9306277891028,Thalente,Xolo,Male,1993-06-27,32,Citizen,South Africa,20986610,N/A,N/A,N/A,N/A,N/A,xulumthokozisi@za.net,425.463.6653,"684 York Indawo, Paarl, 7613",Stellenbosch,Free State,8130,Teaching laboratory technician,Zulu,N/A
'AS822457,Thembisile,Shabalala,Female,1993-11-06,31,Citizen,Ethiopia,51120097,Asylum Seeker Permit,2025-08-06,2027-08-06,ASP64278,Appeal Pending,gugumngadi@org,001-987-555-2846x09174,"8149 Napier Indawo, Benoni, 6451",eThekwini,KwaZulu-Natal,5584,Control and instrumentation engineer,Zulu,20
'8501184148018,Zakhele,Goba,Female,1985-01-18,40,Citizen,South Africa,51567629,N/A,N/A,N/A,N/A,N/A,nomathalente16@co.za,9108250855,"4603 Victoria Isitaladi, Bethlehem, 5908",Welkom,North West,4251,Occupational hygienist,Zulu,N/A
'AS905921,Njabulo,Mdladla,Male,1993-03-06,32,Citizen,Eswatini,62477386,Asylum Seeker Permit,2024-05-15,2026-05-15,ASP77799,Rejected,nhlanhla75@org,+1-832-632-2819x3258,"528 Thomas Ithafa, Benoni, 3393",Middelburg,Mpumalanga,6384,Trading standards officer,Zulu,5
'7012082705073,Londiwe,Ndawo,Female,1970-12-08,54,Citizen,South Africa,38377214,N/A,N/A,N/A,N/A,N/A,jabulanimbulazi@co.za,001-735-412-5922x9862,"426 Oxford Indawo, Polokwane, 1578",Polokwane,KwaZulu-Natal,5880,Structural engineer,Zulu,N/A
'4905135254017,Mthokozisi,Phikela,Male,1949-05-13,76,Citizen,South Africa,10404691,N/A,N/A,N/A,N/A,N/A,yngema@za.net,+1-460-945-4275,"49 President Indawo, Upington, 3954",Stellenbosch,Northern Cape,2404,Forensic scientist,Zulu,N/A
'9812069111094,Siyabonga,Msweli,Male,1998-12-06,26,Citizen,South Africa,36641018,N/A,N/A,N/A,N/A,N/A,ndimandesandile@co.za,(716)850-8365,"475 Church Isitaladi, Rustenburg, 6120",eThekwini,North West,9306,Health visitor,Zulu,N/A
'5709083178017,Thuthukile,Gabela,Female,1957-09-08,68,Temporary Visa,South Africa,79183895,N/A,N/A,N/A,N/A,N/A,nonkosimusa@za.net,579.257.6765x503,"12 High Isitaladi, Stellenbosch, 3872",Kathu,Free State,8427,Oncologist,Zulu,N/A
'5310046873010,Mlungisi,Gebashe,Male,1953-10-04,71,Citizen,South Africa,96369747,N/A,N/A,N/A,N/A,N/A,dumisani42@co.za,587.871.9580x19212,"7704 James Isitaladi, Musina, 2797",Middelburg,KwaZulu-Natal,3799,Manufacturing systems engineer,Zulu,N/A
'4301100143022,Thuthukile,Jili,Female,1943-01-10,82,Citizen,South Africa,74140716,N/A,N/A,N/A,N/A,N/A,zinhle18@za.net,+1-331-863-1138x52782,"38 King Umgwaqo, Vanderbijlpark, 8988",Boksburg,Gauteng,8168,Social worker,Zulu,N/A
'AS639877,Gugulethu,Gabhisa,Female,1989-01-21,36,Citizen,Ghana,G1541059,Asylum Seeker Permit,2022-12-06,2024-12-05,ASP60382,Appeal Pending,zakhele20@com.gh,486-744-0553,"957 Clarence Indawo, Chatsworth, 2794",Welkom,Gauteng,8868,Marine scientist,Zulu,16
'7109193655035,Thabisa,Gasela,Female,1971-09-19,53,Citizen,South Africa,43570930,N/A,N/A,N/A,N/A,N/A,nomasonto90@za.net,922-800-9787x57226,"203 Queen Indlela, Chatsworth, 3502",Middelburg,Limpopo,3367,Civil Service fast streamer,Zulu,N/A
'9903083431011,Thabisile,Mlangatshe,Female,1999-03-08,26,Citizen,South Africa,82693787,N/A,N/A,N/A,N/A,N/A,musa02@za.net,001-631-791-9442x712,"47 High Umgwaqo, Sasolburg, 7669",Springs,North West,5745,"Geneticist, molecular",Zulu,N/A
'9701150726032,Nomagugu,Phoseka,Female,1997-01-15,28,Citizen,South Africa,60419781,N/A,N/A,N/A,N/A,N/A,mabangasimphiwe@za.net,(487)995-6574,"40 Walter Sisulu Isitaladi, Polokwane, 3756",Witbank,Northern Cape,1018,Probation officer,Zulu,N/A
'6611217777071,Siyabonga,Mwelase,Male,1966-11-21,58,Permanent Resident,South Africa,80643752,N/A,N/A,N/A,N/A,N/A,sfisodludla@co.za,514-363-0440,"423 Thomas Indawo, Kimberley, 9588",Upington,Gauteng,3445,"Copywriter, advertising",Zulu,N/A
'5503218065080,Thalente,Dingila,Male,1955-03-21,70,Citizen,South Africa,14355946,N/A,N/A,N/A,N/A,N/A,msibithabisa@za.net,(293)603-2036x32339,"3424 Napier Ithafa, Stellenbosch, 4094",Vanderbijlpark,Gauteng,7308,Risk analyst,Zulu,N/A
'9608182236024,Nqobizitha,Wanda,Female,1996-08-18,29,Temporary Visa,South Africa,61342253,N/A,N/A,N/A,N/A,N/A,hlatshwayosiphesihle@co.za,001-737-887-4811,"6678 Stanley Umgwaqo, Newcastle, 8164",Klerksdorp,Eastern Cape,7233,Health service manager,Zulu,N/A
'5202262116010,Nozibusiso,Mqadi,Female,1952-02-26,73,Permanent Resident,South Africa,87588442,N/A,N/A,N/A,N/A,N/A,tsiyeshe@za.net,439.216.2134,"277 Grey Indlela, Springs, 1496",Thohoyandou,Gauteng,8290,Customer service manager,Zulu,N/A
'6006058120007,Zenzele,Madi,Male,1960-06-05,65,Temporary Visa,South Africa,86743002,N/A,N/A,N/A,N/A,N/A,mzamo34@africa.com,(864)726-3392x2195,"9048 Jan Smuts Isitaladi, Vanderbijlpark, 8554",Witbank,Free State,2635,"Biochemist, clinical",Zulu,N/A
'6503089187046,Andile,Ayize,Male,1965-03-08,60,Citizen,South Africa,69222624,N/A,N/A,N/A,N/A,N/A,emageba@africa.com,(552)296-4897x42078,"8378 Stanley Ithafa, Polokwane, 2229",Sasolburg,Limpopo,3044,Visual merchandiser,Zulu,N/A
'PR49390383,Zenzile,Nhlabathi,Female,1986-03-16,39,Citizen,Malawi,72229045,Work Visa,2022-10-04,2032-10-01,PER32277,N/A,sihawukele49@com,001-395-837-4141,"49 Adelaide Ithafa, Stellenbosch, 2397",Welkom,North West,1534,Proofreader,Zulu,16
'PR15695884,Karl-Jürgen,Weller,Male,1975-06-16,50,Citizen,Germany,908591255,Corporate Visa,2024-02-16,2034-02-13,PER75590,N/A,lindnerclara@de,(07351) 45585,"Marion-Misicher-Weg 57, 75273 Heinsberg",Pritzwalk,Western Cape,70288,Forstwirt,German,11
'7405116825039,Siyabonga,Sibiya,Male,1974-05-11,51,Temporary Visa,South Africa,98818378,N/A,N/A,N/A,N/A,N/A,mlotshwasimphiwe@za.net,001-235-400-1255,"248 Main Ithafa, Krugersdorp, 5550",Witbank,North West,3130,Quarry manager,Zulu,N/A
